DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
240120309,10/22/2024 12:00:00 AM,06/22/2020 12:00:00 AM,1445,01,Central,0121,2,354,THEFT OF IDENTITY,0928,30,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900 W  TEMPLE                       ST,,34.0607,-118.2494
240120333,10/23/2024 12:00:00 AM,10/23/2020 12:00:00 AM,1150,01,Central,0182,2,354,THEFT OF IDENTITY,0935,34,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900 S  HILL                         ST,,34.042,-118.2625
240112350,06/04/2024 12:00:00 AM,12/31/2022 12:00:00 AM,1407,01,Central,0142,2,354,THEFT OF IDENTITY,0377 1822,32,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  HILL                         ST,,34.0519,-118.2531
240105477,01/17/2024 12:00:00 AM,11/22/2022 12:00:00 AM,1806,01,Central,0164,2,354,THEFT OF IDENTITY,0377 0344 1822,40,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,600 S  SPRING                       ST,,34.046,-118.251
240105683,01/24/2024 12:00:00 AM,01/05/2022 12:00:00 AM,1700,01,Central,0171,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,40,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,800 W  OLYMPIC                      BL,,34.045,-118.264
240109486,03/22/2024 12:00:00 AM,03/01/2020 12:00:00 AM,1445,01,Central,0162,2,354,THEFT OF IDENTITY,0930,35,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,800 S  HOPE                         ST,,34.0466,-118.259
240106628,01/22/2024 12:00:00 AM,01/01/2020 12:00:00 AM,1200,01,Central,0112,2,622,BATTERY ON A FIREFIGHTER,1822 0701 0800 0100,-4,X,X,203,OTHER BUSINESS,511,VERBAL THREAT,IC,Invest Cont,622,,,,300 N  SPRING                       ST,,34.0549,-118.2426
240104298,01/04/2024 12:00:00 AM,07/31/2022 12:00:00 AM,1200,01,Central,0101,2,354,THEFT OF IDENTITY,0930 1822 0344,25,F,J,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,900    FIGUEROA                     TR,,34.0663,-118.2442
240119844,10/11/2024 12:00:00 AM,01/02/2020 12:00:00 AM,1115,01,Central,0135,2,354,THEFT OF IDENTITY,0928,22,F,C,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,200 S  MAIN                         ST,,34.051,-118.2445
240109577,03/25/2024 12:00:00 AM,08/03/2022 12:00:00 AM,2000,01,Central,0182,1,310,BURGLARY,1822 0344,30,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310,,,,1200 S  FIGUEROA                     ST,,34.0419,-118.2669
240107044,02/12/2024 12:00:00 AM,09/27/2022 12:00:00 AM,1415,01,Central,0192,2,354,THEFT OF IDENTITY,1908 1822 0929 0928 0930 0344,24,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1300 S  FIGUEROA                     ST,,34.0406,-118.268
240109805,04/01/2024 12:00:00 AM,07/10/2022 12:00:00 AM,0735,01,Central,0154,2,354,THEFT OF IDENTITY,0930 0928 0377,33,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,100 E  6TH                          ST,,34.046,-118.2493
240110375,04/16/2024 12:00:00 AM,05/12/2022 12:00:00 AM,1620,01,Central,0143,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,-1,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,440,,,,200 W  4TH                          ST,,34.0488,-118.2483
240105241,01/18/2024 12:00:00 AM,09/08/2022 12:00:00 AM,2230,01,Central,0131,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0416 0419,30,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
240107892,02/25/2024 12:00:00 AM,11/22/2022 12:00:00 AM,1159,01,Central,0128,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,-1,X,X,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,300 E  TEMPLE                       ST,,34.0522,-118.2393
240117450,08/23/2024 12:00:00 AM,08/21/2022 12:00:00 AM,0100,01,Central,0161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 W  7TH                          ST,,34.0494,-118.2599
240109492,03/25/2024 12:00:00 AM,03/25/2024 12:00:00 AM,1310,01,Central,0128,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1ST                          ST,SAN PEDRO                    ST,34.0504,-118.2409
240119441,10/04/2024 12:00:00 AM,08/29/2022 12:00:00 AM,0700,01,Central,0111,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,500 N  SPRING                       ST,,34.0571,-118.2405
240105023,01/16/2024 12:00:00 AM,01/17/2020 12:00:00 AM,1212,01,Central,0144,2,354,THEFT OF IDENTITY,0928 0929,27,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  MAIN                         ST,,34.0478,-118.2484
240106353,02/01/2024 12:00:00 AM,07/01/2020 12:00:00 AM,1630,01,Central,0111,2,354,THEFT OF IDENTITY,0917,31,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,500 N  BROADWAY,,34.058,-118.241
240109024,03/14/2024 12:00:00 AM,05/20/2020 12:00:00 AM,0750,01,Central,0124,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,52,F,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440,,,,1ST,MAIN,34.0522,-118.2434
240109606,03/26/2024 12:00:00 AM,07/01/2022 12:00:00 AM,2203,01,Central,0131,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501 1822,37,F,A,504,OTHER RESIDENCE,,,IC,Invest Cont,956,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
240105092,01/03/2024 12:00:00 AM,01/01/2022 12:00:00 AM,2320,01,Central,0181,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,54,F,O,741,STAPLES CENTER *,,,IC,Invest Cont,440,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692
240109823,04/01/2024 12:00:00 AM,12/01/2022 12:00:00 AM,0001,01,Central,0152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0397 1822 2032,25,M,K,108,PARKING LOT,,,IC,Invest Cont,341,,,,FIGUEROA,7TH                          ST,34.0494,-118.2599
240106627,01/22/2024 12:00:00 AM,01/01/2020 12:00:00 AM,1200,01,Central,0112,2,662,"BUNCO, GRAND THEFT",1820 1000 0800 0701,-4,M,A,203,OTHER BUSINESS,,,IC,Invest Cont,662,,,,300 N  SPRING                       ST,,34.0549,-118.2426
240121505,11/22/2024 12:00:00 AM,07/01/2020 12:00:00 AM,0130,01,Central,0158,2,354,THEFT OF IDENTITY,1822 0917 0922 0929 0925 0930 0928,32,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,600 S  CENTRAL                      AV,,34.039,-118.24
240108122,02/28/2024 12:00:00 AM,03/14/2022 12:00:00 AM,1505,01,Central,0185,2,354,THEFT OF IDENTITY,0928,27,M,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1000 S  BROADWAY,,34.0409,-118.2574
240111128,05/07/2024 12:00:00 AM,08/24/2022 12:00:00 AM,0600,01,Central,0161,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,900 W  8TH                          ST,,34.0479,-118.2612
240104365,01/05/2024 12:00:00 AM,09/05/2022 12:00:00 AM,1450,01,Central,0166,2,354,THEFT OF IDENTITY,1501,69,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,600 S  SAN PEDRO                    ST,,34.0421,-118.2469
240116807,08/14/2024 12:00:00 AM,07/07/2022 12:00:00 AM,1000,01,Central,0182,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1822,34,F,O,248,CELL PHONE STORE,,,IC,Invest Cont,956,,,,1000 S  OLIVE                        ST,,34.0423,-118.2595
240121717,11/26/2024 12:00:00 AM,01/01/2020 12:00:00 AM,1145,01,Central,0158,2,354,THEFT OF IDENTITY,1822 0930 0935 0928 0929 0922,31,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,600 S  CENTRAL                      AV,,34.039,-118.24
240111103,05/06/2024 12:00:00 AM,05/06/2022 12:00:00 AM,1245,01,Central,0143,2,354,THEFT OF IDENTITY,0930 0928,29,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 S  BROADWAY,,34.0495,-118.2494
240110929,04/30/2024 12:00:00 AM,12/19/2022 12:00:00 AM,1000,01,Central,0151,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0929 0930 1822,0,X,X,602,BANK,,,IC,Invest Cont,341,,,,600 S  FIGUEROA                     ST,,34.0511,-118.2597
240109095,03/15/2024 12:00:00 AM,03/15/2022 12:00:00 AM,1455,01,Central,0162,2,354,THEFT OF IDENTITY,0930 0928 1822 0377,25,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800 S  HOPE                         ST,,34.0466,-118.259
240109912,04/04/2024 12:00:00 AM,11/07/2022 12:00:00 AM,1320,01,Central,0182,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,37,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,1200 S  FIGUEROA                     ST,,34.0419,-118.2669
240110275,04/14/2024 12:00:00 AM,06/04/2022 12:00:00 AM,0532,01,Central,0153,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,740,,,,500 S  BROADWAY,,34.0481,-118.2507
240122945,12/26/2024 12:00:00 AM,08/11/2022 12:00:00 AM,1300,01,Central,0111,2,354,THEFT OF IDENTITY,0377,95,F,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,600 N  BROADWAY,,34.0585,-118.2403
240110279,04/14/2024 12:00:00 AM,03/09/2022 12:00:00 AM,2045,01,Central,0152,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,740,,,,600 S  FLOWER                       ST,,34.0502,-118.2575
240116022,08/02/2024 12:00:00 AM,07/02/2022 12:00:00 AM,1355,01,Central,0166,2,354,THEFT OF IDENTITY,0377 0927 0928 0917,31,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,400 E  7TH                          ST,,34.0421,-118.2469
240109037,03/14/2024 12:00:00 AM,11/18/2022 12:00:00 AM,2359,01,Central,0112,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,101,STREET,,,IC,Invest Cont,740,,,,300 N  BROADWAY,,34.0558,-118.2436
240109333,03/21/2024 12:00:00 AM,01/01/2022 12:00:00 AM,1200,01,Central,0182,1,121,"RAPE, FORCIBLE",0500 1814 0913,40,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,121,,,,600 W  9TH                          ST,,34.0451,-118.2604
240110277,04/14/2024 12:00:00 AM,06/03/2022 12:00:00 AM,0531,01,Central,0153,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,740,,,,500 S  BROADWAY,,34.0481,-118.2507
240107505,02/19/2024 12:00:00 AM,02/19/2022 12:00:00 AM,1500,01,Central,0182,2,354,THEFT OF IDENTITY,0377,29,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700 W  9TH                          ST,,34.0458,-118.2614
240112003,05/28/2024 12:00:00 AM,08/20/2022 12:00:00 AM,2035,01,Central,0182,2,354,THEFT OF IDENTITY,0377 0929 0930,18,M,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1200 S  FIGUEROA                     ST,,34.0419,-118.2669
240115345,07/25/2024 12:00:00 AM,11/18/2022 12:00:00 AM,0600,01,Central,0162,2,354,THEFT OF IDENTITY,0928,23,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700 S  GRAND                        AV,,34.0473,-118.2566
240111681,05/21/2024 12:00:00 AM,01/01/2022 12:00:00 AM,1200,01,Central,0143,2,354,THEFT OF IDENTITY,0917,19,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200 W  5TH                          ST,,34.0488,-118.25
240109906,03/29/2024 12:00:00 AM,11/11/2022 12:00:00 AM,2216,01,Central,0152,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344 0913,-1,X,X,744,HIGH-RISE BUILDING,,,IC,Invest Cont,668,,,,600 S  FIGUEROA                     ST,,34.0508,-118.2586
240119571,10/03/2024 12:00:00 AM,03/23/2022 12:00:00 AM,1130,01,Central,0112,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,49,M,H,101,STREET,,,IC,Invest Cont,341,,,,ALISO,SPRING,34.0566,-118.2423
240105017,01/15/2024 12:00:00 AM,01/15/2022 12:00:00 AM,1955,01,Central,0182,2,354,THEFT OF IDENTITY,0930 0935,35,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1100 S  GRAND                        AV,,34.0415,-118.262
240104123,01/03/2024 12:00:00 AM,11/04/2022 12:00:00 AM,1200,01,Central,0155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,X,X,726,POLICE FACILITY,,,AA,Adult Arrest,845,,,,200 E  6TH                          ST,,34.0448,-118.2474
240119807,10/10/2024 12:00:00 AM,01/01/2022 12:00:00 AM,1300,01,Central,0159,2,354,THEFT OF IDENTITY,0917,68,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,500    MATEO                        ST,,34.0414,-118.2332
240112348,06/04/2024 12:00:00 AM,10/21/2023 12:00:00 AM,2300,01,Central,0164,1,352,PICKPOCKET,0344 1822,34,M,F,735,NIGHT CLUB (OPEN EVENINGS ONLY),,,IC,Invest Cont,352,,,,600 S  SPRING                       ST,,34.046,-118.251
240104645,01/10/2024 12:00:00 AM,11/20/2023 12:00:00 AM,0001,01,Central,0132,2,354,THEFT OF IDENTITY,0930 0928,77,M,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,200 S  OLIVE                        ST,,34.0535,-118.2491
240104415,01/06/2024 12:00:00 AM,12/31/2023 12:00:00 AM,0600,01,Central,0124,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,X,X,102,SIDEWALK,,,IC,Invest Cont,745,,,,200 N  LOS ANGELES                  ST,,34.0525,-118.2432
240104630,01/10/2024 12:00:00 AM,08/11/2023 12:00:00 AM,1200,01,Central,0155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,M,O,726,POLICE FACILITY,,,IC,Invest Cont,845,,,,200 E  6TH                          ST,,34.0448,-118.2474
240107721,02/22/2024 12:00:00 AM,12/23/2023 12:00:00 AM,1900,01,Central,0162,1,330,BURGLARY FROM VEHICLE,1307 0344,35,F,H,101,STREET,,,IC,Invest Cont,330,,,,7TH                          ST,FIGUEROA,34.0494,-118.2599
240109228,03/18/2024 12:00:00 AM,12/17/2023 12:00:00 AM,1539,01,Central,0119,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,740,,,,E  CESAR E CHAVEZ               AV,N  VIGNES                       ST,34.0566,-118.2318
240108029,02/27/2024 12:00:00 AM,01/30/2023 12:00:00 AM,1330,01,Central,0171,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0344 1300,0,M,O,203,OTHER BUSINESS,,,AO,Adult Other,668,,,,900 W  OLYMPIC                      BL,,34.0454,-118.2658
240104194,01/03/2024 12:00:00 AM,12/31/2023 12:00:00 AM,2130,01,Central,0124,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 2004 0416,28,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,4TH,BROADWAY,34.0525,-118.2432
240104181,01/03/2024 12:00:00 AM,12/21/2023 12:00:00 AM,1130,01,Central,0195,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,108,PARKING LOT,,,IC,Invest Cont,668,,,,100 E  WASHINGTON                   BL,,34.0308,-118.2638
240114354,07/10/2024 12:00:00 AM,12/10/2023 12:00:00 AM,1215,01,Central,0153,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,66,F,W,503,HOTEL,,,IC,Invest Cont,440,,,,500 S  SPRING                       ST,,34.0467,-118.252
240105272,01/19/2024 12:00:00 AM,10/21/2023 12:00:00 AM,1600,01,Central,0127,2,354,THEFT OF IDENTITY,0344 1822 0929,47,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,100 N  LOS ANGELES                  ST,,34.0515,-118.2424
240104086,01/02/2024 12:00:00 AM,12/31/2023 12:00:00 AM,1335,01,Central,0162,2,860,BATTERY WITH SEXUAL CONTACT,2004 0305 0522 1822,35,F,A,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,9TH,OLIVE,34.0437,-118.2582
240104287,01/04/2024 12:00:00 AM,10/01/2023 12:00:00 AM,0001,01,Central,0124,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,0,X,X,101,STREET,,,IC,Invest Cont,341,,,,200 N  SPRING                       ST,,34.0539,-118.2436
240106682,02/07/2024 12:00:00 AM,06/22/2023 12:00:00 AM,0600,01,Central,0152,2,948,BIGAMY,,0,M,W,203,OTHER BUSINESS,,,IC,Invest Cont,948,,,,00600 W  5TH                          ST,,34.0502,-118.2539
240107897,02/25/2024 12:00:00 AM,09/06/2023 12:00:00 AM,2359,01,Central,0192,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,710,OTHER PREMISE,,,IC,Invest Cont,740,,,,S  HILL,W  WASHINGTON                   BL,34.0321,-118.2667
240111481,05/15/2024 12:00:00 AM,11/07/2023 12:00:00 AM,1200,01,Central,0182,2,354,THEFT OF IDENTITY,1501,29,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,900 S  FIGUEROA                     ST,,34.0462,-118.2628
240110945,05/01/2024 12:00:00 AM,10/17/2023 12:00:00 AM,1000,01,Central,0161,2,662,"BUNCO, GRAND THEFT",0701,28,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662,,,,800    FRANCISCO                    ST,,34.0473,-118.2641
240104447,01/05/2024 12:00:00 AM,12/28/2023 12:00:00 AM,2130,01,Central,0153,1,330,BURGLARY FROM VEHICLE,0329 0344 1307 1609,34,M,H,108,PARKING LOT,,,IC,Invest Cont,330,,,,600 S  SPRING                       ST,,34.0467,-118.252
240104068,01/02/2024 12:00:00 AM,07/15/2023 12:00:00 AM,1200,01,Central,0161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 W  8TH                          ST,,34.0479,-118.2612
240106634,02/06/2024 12:00:00 AM,12/06/2023 12:00:00 AM,1200,01,Central,0155,2,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1501,0,X,X,726,POLICE FACILITY,,,IC,Invest Cont,845,,,,200 E  6TH                          ST,,34.0448,-118.2474
240105598,01/03/2024 12:00:00 AM,11/18/2023 12:00:00 AM,1700,01,Central,0192,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1822 1916 1912,27,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956,,,,1300 S  FLOWER                       ST,,34.0401,-118.2669
240104316,01/05/2024 12:00:00 AM,12/14/2023 12:00:00 AM,0001,01,Central,0191,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1700 S  FIGUEROA                     ST,,34.0388,-118.2717
240105093,01/17/2024 12:00:00 AM,11/01/2023 12:00:00 AM,1200,01,Central,0161,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203,OTHER BUSINESS,,,AO,Adult Other,668,,,,900 W  8TH                          ST,,34.0479,-118.2612
240109290,03/20/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1345,01,Central,0122,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,36,M,O,116,OTHER/OUTSIDE,,,IC,Invest Cont,341,,,,100 N  HILL                         ST,,34.0572,-118.2481
240105869,01/27/2024 12:00:00 AM,11/07/2023 12:00:00 AM,1400,01,Central,0153,1,210,ROBBERY,1218 2004 0337 0344 0449 1822 0334 0345,52,M,B,101,STREET,200,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210,,,,6TH                          ST,SPRING                       ST,34.0466,-118.252
240104297,01/04/2024 12:00:00 AM,12/30/2023 12:00:00 AM,1235,01,Central,0154,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913 1501,21,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956,,,,500 S  MAIN                         ST,,34.0467,-118.2485
240104373,01/05/2024 12:00:00 AM,10/24/2023 12:00:00 AM,1100,01,Central,0152,2,946,OTHER MISCELLANEOUS CRIME,0344 1501,73,M,O,201,JEWELRY STORE,,,IC,Invest Cont,946,,,,600 S  HILL                         ST,,34.0491,-118.2558
240104322,01/02/2024 12:00:00 AM,12/29/2023 12:00:00 AM,1558,01,Central,0111,1,310,BURGLARY,0344 0329 0321 1607,36,M,H,721,HIGH SCHOOL,,,IC,Invest Cont,310,,,,400 N  GRAND                        AV,,34.0595,-118.2451
240109994,04/06/2024 12:00:00 AM,03/21/2023 12:00:00 AM,1146,01,Central,0138,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,29,M,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440,,,,200 E  2ND                          ST,,34.0503,-118.2434
240104578,01/09/2024 12:00:00 AM,12/31/2023 12:00:00 AM,2215,01,Central,0181,1,352,PICKPOCKET,1822 0344,33,F,V,713,CONVENTION CENTER,,,IC,Invest Cont,352,,,,1200 S  FIGUEROA                     ST,,34.0431,-118.2692
240104545,01/08/2024 12:00:00 AM,12/31/2023 12:00:00 AM,2150,01,Central,0181,1,352,PICKPOCKET,0344 1822,40,F,O,713,CONVENTION CENTER,,,IC,Invest Cont,352,,,,1200 S  FIGUEROA                     ST,,34.0431,-118.2692
240106983,02/11/2024 12:00:00 AM,11/21/2023 12:00:00 AM,1200,01,Central,0142,2,662,"BUNCO, GRAND THEFT",0344 1916 0701,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,662,,,,400 S  FIGUEROA                     ST,,34.0535,-118.256
240108944,03/12/2024 12:00:00 AM,11/13/2023 12:00:00 AM,1200,01,Central,0119,2,354,THEFT OF IDENTITY,1501,34,M,K,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,900 N  VIGNES                       ST,,34.0566,-118.2318
240104173,01/02/2024 12:00:00 AM,10/28/2023 12:00:00 AM,1705,01,Central,0182,2,354,THEFT OF IDENTITY,0928,57,M,K,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,1100 S  HOPE                         ST,,34.0423,-118.263
240105754,01/25/2024 12:00:00 AM,09/17/2023 12:00:00 AM,1900,01,Central,0192,1,330,BURGLARY FROM VEHICLE,1300 0329 1307 0344 1609 0358 1302,24,F,K,101,STREET,,,IC,Invest Cont,330,,,,200 W  14TH                         ST,,34.0361,-118.2634
240121461,11/21/2024 12:00:00 AM,08/02/2023 12:00:00 AM,0001,01,Central,0182,2,354,THEFT OF IDENTITY,0377,25,F,C,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,700 W  9TH                          ST,,34.0458,-118.2614
240108489,03/04/2024 12:00:00 AM,08/30/2023 12:00:00 AM,2359,01,Central,0158,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,0,X,X,101,STREET,,,IC,Invest Cont,740,,,,E  7TH                          ST,STANFORD                     AV,34.0387,-118.2439
240110378,04/16/2024 12:00:00 AM,08/15/2023 12:00:00 AM,1159,01,Central,0153,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,745,,,,500 S  BROADWAY,,34.0481,-118.2507
240106036,01/29/2024 12:00:00 AM,11/12/2023 12:00:00 AM,2000,01,Central,0134,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 0522 0913 1801,13,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,860,,,300 W  3RD                          ST,,34.051,-118.248
